symbol,shares
CTIB,916124
CTIC,2967513
CTK,56888
CTL,20882182
CTLT,1341435
CTMX,4478443
CTR,551808
CTRA,752155
CTRC,328917
CTRE,6987796
CTRM,546592
CTRN,742631
CTS,201740
CTSH,20728068
CTSO,1222237
CTST,1369906
CTT,259603
CTV,25551
CTVA,14837987
CTXR,3841189
CTXRW,26234
CTXS,11283688
CTY,30852
CTZ,6340
CUB,673374
CUBA,107118
CUBB,11991
CUBE,5165538
CUBI,243389
CUBI$C,470
CUBI$D,0
CUBI$E,200
CUBI$F,3651
CUE,1874960
CUI,661074
CUK,1481438
CULP,51786
CURO,724405
CUTR,1245295
CUZ,1622031
CVA,1069957
CVBF,5484657
CVCO,336472
CVCY,217699
CVE,5499482
CVEO,828054
CVET,8623751
CVGI,1533467
CVGW,1311458
CVI,935206
CVIA,463665
CVLT,3723304
CVLY,167903
CVNA,2688421
CVS,10424224
CVTI,991649
CVV,54618
CVX,11195103
CW,503321
CWBC,30303
CWBR,189675
CWCO,488457
CWEN,1338438
CWEN.A,272429
CWH,1244990
CWK,2086094
CWST,1386517
CWT,419150
CX,16479698
CXDC,405500
CXE,48816
CXH,26474
CXO,6531865
CXP,1341793
CXSE,59435
CXW,2408608
CY,26712204
CYAD,362775
CYAN,15145
CYBE,148086
CYBR,3585013
CYCC,1240137
CYCCP,1700
CYCN,3564564
CYD,54507
CYH,4196610
CYOU,2243050
CYRN,259938
CYRX,2772596
CYRXW,2018
CYTK,5977126
CZNC,117531
CZR,71850925
CZWI,144246
CZZ,2442936
D,8274372
DAC,457305
DAIO,101317
DAKT,1972640
DAL,13251852
DALI,55007
DAN,2277717
DAO,60260
DAR,1957753
DARE,492828
DAVA,329721
DAX,16149
DB,11213828
DBD,2899816
DBI,6415482
DBL,50531
DBVT,2184131
DBX,27212524
DCAR,3550327
DCF,73657
DCI,1363591
DCIX,463237
DCO,241426
DCOM,1597324
DCP,2803671
DCP$B,8714
DCP$C,7609
DCPH,4892625
DCUE,31471
DD,8889833
DDD,2358597
DDF,15640
DDIV,19507
DDMX,100608
DDMXU,200
DDMXW,3650
DDOG,16096943
DDS,666443
DDT,3462
DE,3895147
DEA,1150172
DEAC,2370139
DEACU,291703
DEACW,458269
DECK,1010253
DEI,2273536
DELL,5616943
DENN,3598866
DEO,1082812
DERM,8175517
DESP,439538
DEX,35869
DFFN,23415105
DFIN,385361
DFNL,32870
DFNSU,188306
DFP,26485
DFS,3528134
DG,6046282
DGICA,168090
DGICB,2975
DGII,2232040
DGLD,171163
DGLY,232668
DGRE,22484
DGRS,34072
DGRW,464578
DGX,1821166
DHF,230582
DHI,9016859
DHIL,173789
DHR,47011388
DHR$A,833
DHR.Z,877
DHT,3694985
DHX,173911
DHXM,469850
